"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2015-04",,"0","0","14","14","30",,"0","29","5","0","0","6","53",,"0.70","59","9410","1002","2.39",,"31.6","41.7","21.5",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2015-05",,"0","0","17","17","31",,"0","14","1","0","0","14","40",,"0.60","62","10210","800","3.89",,"39.2","48.0","30.4",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2015-06",,"0","0","9","9","4",,"0","0","0","2","0","37","10",,"0.40","72","10579","369","1.80",,"52.7","62.4","43.0",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2015-07",,"0","0","9","9","0",,"0","0","0","2","0","32","0",,"0.40","72","377","377","1.80",,"52.8","62.4","43.3",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2015-08",,"0","0","9","9","0",,"0","3","0","8","0","29","0",,"0.40","74","710","333","1.29",,"54.2","64.1","44.3",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2015-09",,"0","0","5","5","1",,"0","4","0","1","0","30","1",,"0.30","71","1159","449","0.80",,"50.0","59.5","40.5",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2015-10",,"0","0","8","8","1",,"0","15","0","0","0","23","2",,"0.30","62","1921","762","1.29",,"40.4","47.6","33.3",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2015-11",,"0","0","10","10","30",,"4","30","17","0","0","-4","14",,"0.30","45","3188","1267","1.59",,"22.8","30.8","14.8",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2015-12",,"0","0","9","9","31",,"4","31","22","0","0","-9","30",,"0.40","38","4668","1480","1.29",,"17.3","24.6","9.9",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2016-01",,"0","0","10","10","31",,"0","31","20","0","0","3","31",,"0.20","41","6011","1343","1.29",,"21.7","28.5","14.8",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2016-02",,"0","0","12","12","29",,"2","29","15","0","0","-2","44",,"0.80","44","7229","1219","2.49",,"23.0","30.7","15.2",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2016-03",,"0","0","11","11","31",,"2","30","12","0","0","-3","53",,"0.60","48","8452","1222","2.60",,"25.6","34.9","16.2",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2016-04",,"0","0","12","12","30",,"0","26","5","0","0","13","51",,"0.90","61","9408","956","3.60",,"33.1","41.8","24.5",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2016-05",,"0","0","12","12","31",,"0","22","1","0","0","20","44",,"0.70","63","10197","789","2.80",,"39.5","49.2","29.9",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2016-06",,"0","0","4","4","3",,"0","1","0","4","0","30","11",,"0.60","72","10543","346","1.30",,"53.5","64.2","42.7",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2016-07",,"0","0","10","10","0",,"0","0","0","10","0","35","0",,"0.20","75","306","306","1.19",,"55.1","65.4","44.9",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2016-08",,"0","0","4","4","0",,"0","2","0","6","0","31","0",,"0.40","73","667","361","0.80",,"53.3","63.7","43.0",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2016-09",,"0","0","18","18","7",,"0","6","0","1","0","27","7",,"1.50","73","1248","582","5.98",,"45.6","53.9","37.4",,,,
"USS0007E18S","BONE SPRINGS DIV, WY US","44.68","-107.58","2849.9","2016-10",,"0","0","14","14","29",,"0","15","2","0","0","11","8",,"0.70","59","2116","868","3.59",,"37.0","44.2","29.8",,,,
